# Standarddatei der Live Simulation: der volle Bogen in 72 Sekunden.
# Zeitlich gerafft, damit eine Vorfuehrung nicht fuenf Minuten dauert, und
# deshalb bewusst nicht physiologisch. Der realistisch getaktete Verlauf
# liegt in data/puls.csv. Erzeugte Werte, keine echten Messdaten.
# Spalten: zeit (Sekunden), puls (bpm)
zeit,puls
0,63
1,68
2,66
3,59
4,56
5,60
6,65
7,64
8,59
9,59
10,64
11,68
12,66
13,68
14,79
15,80
16,90
17,93
18,101
19,102
20,109
21,108
22,113
23,110
24,110
25,113
26,111
27,111
28,115
29,113
30,114
31,117
32,114
33,113
34,114
35,113
36,113
37,115
38,114
39,115
40,116
41,114
42,114
43,115
44,112
45,111
46,112
47,112
48,111
49,108
50,104
51,97
52,93
53,92
54,86
55,78
56,74
57,75
58,76
59,76
60,73
61,71
62,67
63,64
64,63
65,62
66,64
67,62
68,58
69,57
70,62
71,66
