# Simulierte Pulsreihe fuer die Live Simulation, 5 Minuten bei 1 Hz.
# Erzeugte Werte, keine echten Messdaten.
# Verlauf: 60 s ruhig, Anstieg, 90 s erhoeht, langsame Beruhigung.
# Spalten: zeit (Sekunden), puls (bpm)
zeit,puls
0,64
1,67
2,66
3,60
4,57
5,60
6,64
7,63
8,60
9,59
10,64
11,68
12,65
13,59
14,56
15,60
16,64
17,63
18,60
19,59
20,63
21,68
22,66
23,59
24,57
25,60
26,64
27,64
28,59
29,59
30,64
31,67
32,66
33,60
34,56
35,60
36,64
37,64
38,60
39,59
40,64
41,68
42,65
43,60
44,57
45,60
46,64
47,64
48,60
49,59
50,63
51,68
52,66
53,59
54,56
55,60
56,65
57,63
58,60
59,59
60,64
61,63
62,72
63,69
64,69
65,77
66,74
67,78
68,85
69,83
70,89
71,91
72,88
73,94
74,93
75,94
76,98
77,96
78,101
79,102
80,104
81,106
82,104
83,108
84,105
85,108
86,106
87,110
88,110
89,111
90,113
91,112
92,114
93,110
94,111
95,112
96,110
97,111
98,113
99,113
100,113
101,115
102,112
103,113
104,113
105,111
106,112
107,114
108,113
109,113
110,116
111,114
112,114
113,114
114,112
115,112
116,114
117,113
118,114
119,116
120,115
121,115
122,116
123,114
124,113
125,114
126,113
127,114
128,115
129,114
130,114
131,117
132,115
133,113
134,115
135,113
136,112
137,115
138,115
139,115
140,117
141,116
142,114
143,115
144,114
145,113
146,115
147,113
148,114
149,116
150,116
151,114
152,116
153,114
154,112
155,113
156,113
157,112
158,115
159,115
160,114
161,115
162,115
163,112
164,114
165,113
166,111
167,113
168,114
169,113
170,115
171,115
172,113
173,113
174,113
175,111
176,113
177,112
178,112
179,114
180,115
181,112
182,113
183,113
184,111
185,111
186,108
187,108
188,109
189,109
190,108
191,105
192,105
193,104
194,103
195,100
196,97
197,98
198,99
199,101
200,98
201,96
202,94
203,95
204,94
205,92
206,89
207,87
208,88
209,91
210,93
211,90
212,87
213,83
214,81
215,82
216,84
217,86
218,85
219,82
220,80
221,79
222,78
223,79
224,80
225,80
226,79
227,77
228,76
229,75
230,73
231,73
232,73
233,73
234,72
235,72
236,73
237,73
238,75
239,75
240,75
241,74
242,72
243,70
244,67
245,66
246,65
247,64
248,65
249,66
250,66
251,66
252,65
253,64
254,63
255,62
256,62
257,65
258,67
259,68
260,69
261,69
262,69
263,67
264,65
265,62
266,60
267,58
268,59
269,60
270,64
271,68
272,65
273,59
274,56
275,59
276,63
277,63
278,58
279,59
280,62
281,66
282,64
283,58
284,55
285,58
286,62
287,61
288,57
289,58
290,62
291,65
292,64
293,58
294,54
295,58
296,63
297,62
298,57
299,58
